,track,artist,tempo,danceability,acousticness,energy,decade,genre
26,Keep On Trying,Bobby Vee,0.509653181345605,0.498,0.0789,0.527,60s,pop
27,Can't Buy Me Love,The Beatles,0.4228594624372988,0.844,0.848,0.299,60s,pop
28,Lonely Little Girl,Frank Zappa,0.453987399709224,0.463,0.616,0.463,60s,pop
29,Yaaraithaan Nambuvatho,P. Susheela,0.32780638133069345,0.431,0.885,0.551,60s,pop
30,Just Be Sincere,Jackie Wilson,0.4609337138549351,0.515,0.657,0.699,60s,pop
31,Cien Kilos de Barro (100 Pounds of Clay),Enrique Guzman,0.4911503874941493,0.528,0.414,0.493,60s,pop
32,Come Rain Or Come Shine,Ray Charles,0.49527178437845604,0.357,0.767,0.216,60s,rock
33,Caprice viennois,Fritz Kreisler,0.368486018316399,0.283,0.982,0.0811,60s,rock
34,Uma Especial Oração (My Special Prayer),Jerry Adriani,0.4869792853207855,0.56,0.0853,0.821,60s,pop
35,If You Never Come To Me (Inútil Paisagen),Antônio Carlos Jobim,0.40201223578532286,0.337,0.784,0.172,60s,rock
36,Ebrio,Gerardo Reyes,0.4176321228714745,0.565,0.579,0.358,60s,pop
37,I Idolize You,Ike & Tina Turner,0.49112139274219935,0.743,0.808,0.398,60s,pop
38,Españolito,Joan Manuel Serrat,0.5008263504305721,0.555,0.164,0.658,60s,pop
39,See You In September,The Happenings,0.5341496046358466,0.519,0.864,0.422,60s,pop
40,Where Did Our Love Go,The Supremes,0.5589111228010587,0.566,0.791,0.49,60s,pop
41,Inolvidable,Tito Rodriguez,0.3377515812495081,0.257,0.739,0.378,60s,rock
42,Hip City - Pt. 2,Jr. Walker & The All Stars,0.6092045911118659,0.611,0.126,0.686,60s,pop
43,How Sweet It Is To Be Loved By You,Marvin Gaye,0.45646852205465094,0.653,0.323,0.49,60s,pop
44,For Once In My Life,Tony Bennett,0.29798320789651356,0.203,0.862,0.375,60s,rock
45,When the World Ends / Epitaph / Farewell and Thanksgiving,Mark Van Doren,0.3581017550109144,0.721,0.934,0.137,60s,rap
46,Si Tuviera Tu Amor,La Sonora Matancera,0.5300654867183325,0.597,0.458,0.365,60s,pop
47,Russell And Eliot,Yusef Lateef,0.5806116235818459,0.559,0.224,0.41,60s,r&b
48,Thamizh Engal Uyiranathu,P. Susheela,0.3747240320930483,0.475,0.488,0.474,60s,rap
49,For What It's Worth,The Staple Singers,0.4279169755988452,0.763,0.655,0.621,60s,pop
50,"Take The """"A"""" Train",Maynard Ferguson,0.5144124627728096,0.468,0.619,0.756,60s,pop
51,La Suegra (Mother in Law),Los Teen Tops,0.5517908401436483,0.583,0.372,0.556,60s,pop
52,Boi Bumbá,Luiz Gonzaga,0.5779109695430841,0.611,0.406,0.697,60s,pop
53,Werewolf Watusi,Don Hinson & The Rigamorticians,0.5055400686761411,0.762,0.493,0.496,60s,rap
54,Esta Noite Me Embriago (Esta Noche Me Emborracho),Nelson Gonçalves,0.5025411829030374,0.603,0.843,0.513,60s,pop
55,Is It Really Over?,Jim Reeves,0.3348562481619398,0.275,0.805,0.241,60s,rock
56,Baby You're A Rich Man,The Beatles,0.40075303512921306,0.619,0.0119,0.625,60s,pop
57,Largo,Paulinho Nogueira,0.47782522791946086,0.608,0.934,0.0113,60s,pop
58,Il faut savoir,Charles Aznavour,0.4568081748632069,0.492,0.703,0.47,60s,pop
59,Ya Parte el Galgo Terrible,Victor Jara,0.5250328262013146,0.728,0.857,0.669,60s,rap
60,"Happy Birthday, Sweet Sixteen",Neil Sedaka,0.32991057190077167,0.498,0.607,0.796,60s,pop
61,Gentleness,David Lindup,0.40669281717152056,0.24,0.959,0.0867,60s,rock
62,The First Noel,Traditional,0.3198701035112645,0.238,0.943,0.28,60s,rock
63,The Lone Teen Ranger,Jerry Landis,0.7138756456509944,0.402,0.891,0.789,60s,edm
64,Running Bear,Johnny Preston,0.4969990431731856,0.772,0.854,0.297,60s,pop
65,"Sad, Sad Girl",Barbara Mason,0.6853613781619812,0.306,0.621,0.495,60s,rock
66,Zelda's Theme,Pérez Prado,0.556682669008338,0.849,0.734,0.898,60s,latin
67,Amor,Ben E. King,0.41757827547499615,0.548,0.672,0.566,60s,pop
68,Some Things You Never Get Used To,Diana Ross & The Supremes,0.5187078281688157,0.668,0.0941,0.835,60s,pop
69,There'll Come A Time,Betty Everett,0.5081040331699963,0.66,0.302,0.743,60s,pop
70,The Rains Came,Sir Douglas Quintet,0.5497984864739482,0.573,0.495,0.671,60s,pop
71,The Loop,Johnny Lytle,0.5024956197214018,0.784,0.641,0.508,60s,pop
72,Jingle Jangle,The Archies,0.4527406253753785,0.625,0.0368,0.472,60s,pop
73,Blue Autumn,Bobby Goldsboro,0.3841638949064505,0.515,0.453,0.348,60s,pop
74,Tell Him,The Exciters,0.7334056821429608,0.708,0.445,0.616,60s,edm
75,Out Of Limits,The Marketts,0.5518239770030197,0.485,0.367,0.779,60s,pop
76,The Letter,The Box Tops,0.5775506061974212,0.638,0.252,0.428,60s,pop
77,Canción Mixteca (Qué Lejos Estoy),Guty Cárdenas,0.6858915679119222,0.468,0.995,0.102,60s,pop
78,Just A Little Bit Better,Herman's Hermits,0.5764405214084822,0.622,0.586,0.644,60s,pop
79,Black Verse - Part 2,Langston Hughes,0.2636120005136213,0.614,0.636,0.151,60s,rap
80,People Are Strange,The Doors,0.494099567978196,0.699,0.685,0.467,60s,pop
81,Let It Out (Let It All Hang Out),The Hombres,0.5036305571548693,0.604,0.146,0.505,60s,pop
82,Mexican Highway,Syd Dale,0.606723468766439,0.78,0.217,0.429,60s,pop
83,Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,0.5138615624857615,0.711,0.435,0.586,60s,pop
84,Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance,Charles Mingus,0.41954991860758917,0.304,0.21,0.519,60s,rock
85,Sebastiana,Gilberto Gil,0.572045745434362,0.567,0.292,0.539,60s,pop
86,Bold Soul Sister,Ike & Tina Turner,0.38995041897416566,0.775,0.224,0.688,60s,pop
87,Départ de Renaud,André Hossein,0.3511098776835679,0.145,0.807,0.167,60s,rock
88,Seventh Heaven,The Hippy Boys,0.5619845665077478,0.87,0.247,0.546,60s,pop
89,"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente",Benjamin Britten,0.34107355140148204,0.559,0.888,0.121,60s,rap
90,Leader Of The Laundromat,The Detergents,0.5859632263703127,0.444,0.697,0.621,60s,rap
91,Ain't That Just Like Me,The Searchers,0.6539352091557142,0.371,0.646,0.929,60s,latin
92,Searching For My Love,Bobby Moore & The Rhythm Aces,0.40720643849177585,0.677,0.114,0.661,60s,pop
93,Till You Return,Scott Walker,0.5268553534667367,0.57,0.689,0.551,60s,pop
94,"Madama Butterfly, Act I: Quanto cielo!....Ancora un passo or via (Coro/Butterfly/Sharpless) - 1986 Remastered Version",Giacomo Puccini,0.359228408229539,0.145,0.942,0.187,60s,rock
95,"Past, Present And Future",The Shangri-Las,0.5595904284181706,0.349,0.799,0.208,60s,rock
96,Atlantis,Donovan,0.31805171835326373,0.326,0.177,0.313,60s,rock
97,The end of a spy - Fine di una spia,Ennio Morricone,0.45472469483023575,0.211,0.864,0.578,60s,rock
98,While I Was Walking,Tommy McCook,0.3712156671071108,0.683,0.0859,0.464,60s,pop
99,My Song,Aretha Franklin,0.5015015139402625,0.458,0.461,0.25,60s,pop
100,Julia,Ramsey Lewis,0.3860692643203009,0.471,0.123,0.579,60s,r&b
101,Song of the Crib,Traditional,0.33000584037146424,0.342,0.988,0.171,60s,rock
102,We Will Fall (John Cale Mix) - 2019 Remaster,The Stooges,0.4489257444402563,0.205,0.163,0.398,60s,rock
103,Femmina - Seq. 3,Carlo Savina,0.33903149244272496,0.475,0.935,0.318,60s,pop
104,Country Blues,Doc Watson,0.5276382117693841,0.563,0.81,0.447,60s,pop
105,La Virgen Lava Pañales,Traditional,0.27267078944425344,0.18,0.981,0.196,60s,rock
106,The Cave,Jerry Goldsmith,0.3877261072888664,0.253,0.661,0.04,60s,rock
107,Marcia - Marcetta,Ennio Morricone,0.24794240813841267,0.122,0.824,0.331,60s,rock
108,Mississippi River Blues,Bob Wills,0.446129821930802,0.597,0.821,0.29,60s,pop
109,Brazil (Aka Aquarela do Brasil),Antônio Carlos Jobim,0.4645166367744581,0.519,0.384,0.38,60s,r&b
110,"Le nozze di Figaro, K.492 / Act 3: """"Sull’aria ... Che soave zeffiretto""""",Wolfgang Amadeus Mozart,0.3312898936721025,0.218,0.991,0.0625,60s,rock
111,Canto Karabali,Ernesto Lecuona,0.5689101701163518,0.343,0.341,0.364,60s,rock
112,I Do,The Marvelows,0.4102964506281506,0.543,0.752,0.715,60s,pop
113,Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,0.734039424578437,0.374,0.467,0.148,60s,edm
114,Guaguancó En Tropicana,Tito Puente,0.6459450839398069,0.587,0.482,0.715,60s,pop
115,You Mean The World To Me,David Houston,0.49865174403432977,0.585,0.856,0.377,60s,pop
116,Hum Allah Hum Allah Hum Allah,Pharoah Sanders,0.4364497168869577,0.438,0.667,0.559,60s,r&b
117,Alabam,Cowboy Copas,0.4420374197984451,0.719,0.378,0.653,60s,pop
118,In My Father's House - Live,Harry Belafonte,0.40600522733956584,0.562,0.491,0.646,60s,pop
119,Tossing & Turning,The Ivy League,0.4930971779822138,0.586,0.463,0.51,60s,pop
120,Mokka Jonna Thotalo,P. Susheela,0.6526097347808618,0.62,0.899,0.599,60s,rap
121,"Hickory, Dick And Doc",Bobby Vee,0.4673374119284409,0.7,0.72,0.626,60s,pop
122,Strange I Know,The Marvelettes,0.45325838880305525,0.632,0.551,0.758,60s,pop
123,Cara-Lin,The Strangeloves,0.5405698711390381,0.748,0.135,0.788,60s,pop
124,Personne,Serge Gainsbourg,0.4632035887218699,0.549,0.761,0.289,60s,pop
125,"The Bartered Bride, Act II: """"Eine gibt es hier im Dorf""""",Staatskapelle Dresden,0.534493399551824,0.354,0.977,0.123,60s,rock
126,Afternoon in Paris,Sonny Rollins,0.7258836150656731,0.414,0.716,0.65,60s,edm
127,Nothing But Heartaches,The Supremes,0.5138988414525542,0.579,0.084,0.554,60s,pop
128,"God, Country And My Baby",Johnny Burnette,0.5018453088562399,0.486,0.21,0.526,60s,pop
129,Na Na Hey Hey Kiss Him Goodbye,Steam,0.4762885060661163,0.637,0.0139,0.916,60s,r&b
130,"Heia, in den Bergen liegt mein Heimatland",Vienna State Opera Orchestra,0.377333559768539,0.135,0.887,0.324,60s,rock
131,Psycho,Bobby Hendricks,0.544972931328001,0.648,0.836,0.539,60s,pop
132,C'est Si Bon (It's So Good),Conway Twitty,0.49910737585068526,0.58,0.727,0.617,60s,pop
133,She Loves You,The Beatles,0.31286579986165364,0.377,0.26,0.916,60s,latin
134,Highway #2 (Travelin' Lady),Elmer Bernstein,0.6027304772121961,0.567,0.0741,0.762,60s,pop
135,I Don't Know Why,Stevie Wonder,0.3886705077809488,0.42,0.165,0.483,60s,pop
136,Monster Monkey,John Zacherle,0.36283618379359045,0.624,0.618,0.83,60s,pop
137,Toada Da Saudade,Marinês E Sua Gente,0.4030394784258335,0.638,0.757,0.453,60s,pop
138,I Love You Because,Al Martino,0.36721439133802497,0.29,0.894,0.2,60s,rock
139,Ecstasy,Ben E. King,0.5004618449774876,0.683,0.19,0.673,60s,pop
140,Amore mio aiutami - Version 4,Piero Piccioni,0.5084188333340237,0.213,0.952,0.168,60s,rock
141,Yuri Approaches Lara's Apartment,Maurice Jarre,0.5420983087775398,0.162,0.242,0.0383,60s,rock
142,Don't Make Promises - Bonus Track,Krokodil,0.4717777510841966,0.567,0.126,0.927,60s,r&b
143,Tómate una Copa,Javier Solís,0.44534282152073335,0.394,0.965,0.18,60s,pop
144,Can You Jerk Like Me,The Contours,0.32594657509847863,0.556,0.612,0.742,60s,pop
145,Angel,Johnny Tillotson,0.43893912344722746,0.344,0.793,0.431,60s,rock
146,Alfie,Cilla Black,0.6012186080033799,0.306,0.941,0.257,60s,rock
147,Sur le chemin du retour,Charles Aznavour,0.5277749013142907,0.566,0.773,0.511,60s,pop
148,Amore in fiore,Piero Piccioni,0.3170990336463386,0.094,0.985,0.104,60s,rock
149,Big Boy Pete,The Olympics,0.5446912680233449,0.616,0.83,0.736,60s,pop
150,"Charles, Anjo 45",Jorge Ben Jor,0.39813108113145806,0.404,0.615,0.947,60s,r&b
151,Bata Rhythm,Julio Gutierrez,0.37977326103975184,0.505,0.808,0.758,60s,r&b
152,Who'll Be The Next In Line,The Kinks,0.6684740062048768,0.33,0.052,0.858,60s,rock
153,Burning Bridges,Jack Scott,0.3421919204052638,0.465,0.809,0.276,60s,pop
154,Here In My Heart,Al Martino,0.3436582264324443,0.177,0.8,0.279,60s,rock
155,"Our Man Flint: Man Does Not Live By Bread Alone - From """"Our Man Flint""""",Jerry Goldsmith,0.39711212270579027,0.522,0.691,0.0902,60s,pop
156,Marche des grooms,Michel Legrand,0.5103863343591952,0.633,0.774,0.504,60s,pop
157,Al Vent - En Directe,Raimon,0.5967741267402028,0.446,0.879,0.538,60s,pop
158,Zero Hour,David Lindup,0.5367715586336016,0.431,0.524,0.454,60s,pop
159,Deep River,Traditional,0.420448755918036,0.181,0.987,0.294,60s,rock
160,You Didn't Have To Be So Nice,The Lovin' Spoonful,0.5399402708109833,0.638,0.809,0.622,60s,pop
161,Flower Punk,Frank Zappa,0.4613810614564478,0.48,0.0522,0.7,60s,pop
162,Without You,Johnny Tillotson,0.4117130513662742,0.538,0.376,0.568,60s,pop
163,Half Heaven - Half Heartache,Gene Pitney,0.42570923234323155,0.438,0.719,0.451,60s,pop
164,Aquarius,Gerald Wilson Orchestra,0.596434473931647,0.387,0.487,0.495,60s,pop
165,End Titles,Jerry Goldsmith,0.5770701217365372,0.193,0.967,0.2,60s,rock
166,Sweet Dreams (Of You),Patsy Cline,0.345116248244782,0.321,0.953,0.0227,60s,rock
167,I Can Make It With You,Pozo Seco Singers,0.49453448925744437,0.537,0.109,0.424,60s,pop
168,Alejandra,Vicente Fernández,0.6263322052994122,0.379,0.747,0.276,60s,pop
169,Ballade pour toi (Ce que je cherche est en toi),Michel Polnareff,0.48225728286037367,0.369,0.866,0.386,60s,pop
170,Mustang Sally,Wilson Pickett,0.45744605940610467,0.725,0.113,0.327,60s,pop
171,"Our Man Flint: Never Mind, You'd Love It - From """"Our Man Flint""""",Jerry Goldsmith,0.40938932910286097,0.362,0.79,0.0719,60s,pop
172,Batman Theme,The Marketts,0.6069885636414094,0.435,0.207,0.683,60s,pop
173,Where There's Woman - Mono,Captain Beefheart & His Magic Band,0.35200457288659326,0.609,0.357,0.535,60s,pop
174,Let's Twist Again,Chubby Checker,0.6951781727507321,0.604,0.0987,0.709,60s,pop
175,Just A Little Bit,Blue Cheer,0.5253227737208137,0.438,0.038,0.749,60s,pop
176,Só Danço Samba,Carmelia Alves,0.3777684810477875,0.625,0.741,0.52,60s,pop
177,Bracelets Of Fingers,The Pretty Things,0.3931646943331828,0.304,0.124,0.453,60s,rock
178,House For Everyone,Traffic,0.5052128421898493,0.565,0.583,0.549,60s,pop
179,Les Alpes: Les glaciers,Jean Prodromidès,0.469449886713362,0.192,0.9,0.197,60s,rock
180,Club Verde,Vicente Fernández,0.7245374301537135,0.315,0.779,0.313,60s,rock
181,Fumeux fume - Voice,Traditional,0.5845341993099249,0.14,0.982,0.0282,60s,rock
182,Forever,The Little Dippers,0.298708076695261,0.519,0.281,0.45,60s,pop
183,Heart In Hand,Brenda Lee,0.44689611180376354,0.651,0.841,0.172,60s,pop
184,Brother Love's Travelling Salvation Show,Neil Diamond,0.5597726811447128,0.428,0.575,0.432,60s,pop
185,I'll Hold Out My Hand,The Clique,0.42253223595100714,0.562,0.522,0.715,60s,pop
186,Ojitos Verdes,Victor Jara,0.55249914051271,0.718,0.903,0.572,60s,pop
187,Por Mi Culpa,Javier Solís,0.3849674637462048,0.524,0.841,0.319,60s,pop
188,Las Moscas,Joan Manuel Serrat,0.5606549500254739,0.484,0.855,0.412,60s,pop
189,What The World Needs Now Is Love,Jackie DeShannon,0.43782075444344576,0.445,0.814,0.407,60s,pop
190,Nylon,Lord Melody,0.4173007542777614,0.502,0.765,0.666,60s,pop
191,Shagu,Mulatu Astatke,0.5529299196845371,0.494,0.89,0.632,60s,pop
192,"Die Zauberflöte, K.620 / Erster Aufzug: """"Der Vogelfänger bin ich ja""""",Wolfgang Amadeus Mozart,0.3318076570997792,0.546,0.942,0.156,60s,pop
193,Petticoat White (Summer Sky Blue),Bobby Vinton,0.43623018519362283,0.599,0.456,0.648,60s,pop
194,Lullaby Of The Leaves,The Ventures,0.6625135136254624,0.381,0.661,0.552,60s,pop
195,There Will Never Be Another You,Bud Powell,0.33880367653454724,0.579,0.904,0.332,60s,r&b
196,T'ain't Nothin' To Me,The Coasters,0.5553364840963786,0.431,0.526,0.374,60s,r&b
197,Eu e a Brisa / Viola Enluarada,Peter Thomas,0.6974563318325098,0.275,0.097,0.304,60s,rock
198,I Can't Stop Dancing,Archie Bell & The Drells,0.5065424586721232,0.565,0.656,0.729,60s,pop
199,Baby It's You,Smith,0.39522746382904694,0.595,0.0156,0.471,60s,pop
200,Worry,Johnny Tillotson,0.3409451460714182,0.368,0.95,0.259,60s,pop
201,Feel So Fine,Johnny Preston,0.7035949350310451,0.555,0.683,0.723,60s,pop
202,Leaky Faucet,Jerry Goldsmith,0.4094348922844965,0.701,0.926,0.303,60s,pop
203,"Medley: Hark, The Herald Angels Sing / O Come All Ye Faithful - Instrumental",John Fahey,0.560944897544973,0.358,0.717,0.352,60s,rock
204,I've Gotta Get A Message To You,Bee Gees,0.3454973221275521,0.441,0.037,0.596,60s,pop
205,If Ever I Would Leave You - Rudy Van Gelder Edition/Digital Remaster/24 Bit Mastering/1998,Kenny Dorham,0.4848336736764931,0.497,0.98,0.19,60s,r&b
206,Hallies Jazz,Elmer Bernstein,0.5787145383828385,0.586,0.769,0.213,60s,pop
207,Yambu - Live,Tito Rodriguez,0.836854814992772,0.459,0.764,0.61,60s,edm
208,You Never Can Tell,Chuck Berry,0.6519842765602283,0.525,0.731,0.852,60s,rap
209,Oh Yeah,The Shadows Of Knight,0.49654755346425156,0.658,0.242,0.405,60s,pop
210,Trust Us - Take 9,Captain Beefheart & His Magic Band,0.35637035410876344,0.424,0.14,0.583,60s,r&b
211,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,0.5161811426417533,0.805,0.24,0.473,60s,pop
212,Dirty Dishes,Jerry Goldsmith,0.5059708478479681,0.405,0.944,0.269,60s,pop
213,Western générique - Version Live,Royal Philharmonic Orchestra,0.5510038397335797,0.304,0.961,0.196,60s,rock
214,I Heard It Through The Grapevine,Marvin Gaye,0.4857325109869399,0.711,0.272,0.362,60s,pop
215,Pretty Little Baby,Marvin Gaye,0.45341578888506895,0.593,0.8,0.549,60s,pop
216,Allons Gai Gai Gai,John Barry,0.3820182832621581,0.246,0.991,0.0378,60s,rock
217,Barocco,Piero Piccioni,0.3326609312285905,0.201,0.916,0.178,60s,rock
218,Cry,Ronnie Dove,0.29937081388268727,0.256,0.802,0.355,60s,rock
219,Say You Love Me,The Impressions,0.6978871110043368,0.253,0.393,0.454,60s,rock
220,There's Something On Your Mind (Part 2),Bobby Marchan,0.42949926063382526,0.649,0.825,0.208,60s,rap
221,L'amore Dice Ciao (Main Titles),Armando Trovajoli,0.7609589807102057,0.254,0.568,0.183,60s,rock
222,Morning,Sérgio Mendes,0.4700712028265741,0.569,0.491,0.369,60s,pop
223,Tears And Roses,Al Martino,0.4771707749468775,0.566,0.833,0.224,60s,pop
224,"L'Elisir d'amore, 'Elixir of Love' (1988 Digital Remaster), Act I: Andiam Belcore",Gaetano Donizetti,0.3686517026132556,0.417,0.949,0.473,60s,pop
225,Home from Abroad,Laurie Lee,0.24505950137310858,0.753,0.108,0.21,60s,rap
226,It Can't Happen Here,Frank Zappa,0.4804720345617443,0.439,0.801,0.425,60s,rap
227,Love Poems: Love's Progress / The Surly One / The Swan / Memory,Theodore Roethke,0.44810146506339493,0.696,0.974,0.0453,60s,rap
228,There Goes My Everything,Engelbert Humperdinck,0.3736885052376948,0.407,0.822,0.312,60s,pop
229,On Your Own Again,Scott Walker,0.5927190035746387,0.433,0.825,0.106,60s,pop
230,It Will Stand,The Showmen,0.6030121405168521,0.67,0.717,0.507,60s,pop
231,I'm the Urban Spaceman - 2007 Remaster,The Bonzo Dog Band,0.37170443578283757,0.63,0.156,0.525,60s,pop
232,I Francobolli,Ennio Morricone,0.2789875032619096,0.292,0.659,0.273,60s,rock
233,Cycles,Frank Sinatra,0.5312294189037499,0.477,0.903,0.148,60s,pop
234,Two-Bit Manchild,Neil Diamond,0.3687635395136338,0.565,0.489,0.673,60s,pop
235,I Know A Place,Petula Clark,0.5716356767996421,0.45,0.792,0.805,60s,pop
236,Give It Up Or Turnit A Loose,James Brown,0.4753606740037196,0.703,0.00964,0.88,60s,r&b
237,Funny Familiar Forgotten Feelings,Tom Jones,0.3586236605460126,0.452,0.667,0.403,60s,pop
238,Love Is All We Need,Mel Carter,0.33486039026936126,0.376,0.644,0.456,60s,pop
239,Ching Miau - Rudy Van Gelder Remaster,Yusef Lateef,0.14288613760909277,0.266,0.456,0.33,60s,rock
240,Regent Street,I Marc 4,0.45694900651553494,0.409,0.311,0.705,60s,pop
241,My Yiddische Momme,Jiří Malásek,0.34015400355392816,0.294,0.796,0.316,60s,rock
242,YOUR HEAD IS REELING,Ultimate Spinach,0.49611263218500307,0.472,0.757,0.508,60s,pop
243,Um Rostinho de Criança (I Don't Care What They Say),Leno e Lilian,0.4773820224253696,0.62,0.0886,0.747,60s,pop
244,Real Humdinger,J.J. Barnes,0.5555974368639276,0.718,0.265,0.672,60s,r&b
245,Inquietacao (Inquietude),Luiz Bonfá,0.33546099584546624,0.645,0.864,0.261,60s,pop
246,Sailor Man - Live,Harry Belafonte,0.3688008184804265,0.269,0.905,0.15,60s,rock
247,West Side Story: Act II: I Feel Pretty,Leonard Bernstein,0.4628515095910497,0.71,0.805,0.35,60s,pop
248,"Little Darling, I Need You",Marvin Gaye,0.538888175525944,0.741,0.26,0.602,60s,pop
249,Traigo El Coco Seco,Tito Puente,0.5231233146800429,0.535,0.869,0.874,60s,latin
250,Golondrina Presumida,Amalia Mendoza,0.3724458730112707,0.421,0.874,0.149,60s,pop
251,See,The Rascals,0.4833218044676771,0.463,0.338,0.902,60s,r&b
252,La saison des pluies,Serge Gainsbourg,0.4833383728973627,0.617,0.922,0.0386,60s,pop
253,Llanto De Luna,Tito Rodriguez,0.3722801887144141,0.326,0.555,0.457,60s,rock
254,Hey Little Cobra,The Rip Chords,0.648919117068382,0.563,0.531,0.754,60s,pop
255,Rowdy,Clint Eastwood,0.35460581634724114,0.512,0.805,0.398,60s,pop
256,From The Bottom Of My Heart (I Love You),The Moody Blues,0.44496588974538465,0.483,0.521,0.578,60s,pop
257,It Won't Be Wrong,The Byrds,0.5100922447322749,0.496,0.295,0.701,60s,pop
258,California Dreamin',The Mamas & The Papas,0.46543618462201203,0.552,0.352,0.608,60s,pop
259,Point Of No Return,Adam Wade,0.4181001810100943,0.38,0.825,0.13,60s,pop
260,Remember When,Wayne Newton,0.5455155474002062,0.593,0.811,0.363,60s,pop
261,That Old Black Magic,Bobby Rydell,0.7350252461447335,0.475,0.59,0.831,60s,rap
262,Sunday For Tea,Peter And Gordon,0.2555597436863928,0.589,0.717,0.426,60s,pop
263,Puñalada Trapera,Amalia Mendoza,0.33386214238080053,0.503,0.773,0.196,60s,pop
264,Eternally,The Chantels,0.7409360334350911,0.222,0.951,0.459,60s,rock
265,Young And In Love,Chris Crosby,0.5343111468252818,0.461,0.65,0.644,60s,pop
266,Acompáñame,Enrique Guzman,0.42962766596388907,0.38,0.671,0.286,60s,pop
267,Bataille de Zaccar,André Hossein,0.7376637685721742,0.34,0.649,0.477,60s,rock
268,3rd Man Theme,Herb Alpert & The Tijuana Brass,0.6344631621676476,0.553,0.423,0.677,60s,pop
269,Saturday Night At The Movies,The Drifters,0.5601827497794328,0.708,0.646,0.544,60s,pop
270,Music for Percussion (Nos. 8 - 13),Laurie Johnson,0.368415602490235,0.258,0.864,0.157,60s,rock
271,Dorme Dorme Menininha,Sérgio Ricardo,0.5102952079959242,0.445,0.974,0.0399,60s,pop
272,"Bill Bailey, Won't You Please Come Home",Ella Fitzgerald,0.5479345381343119,0.604,0.371,0.541,60s,pop
273,Total Blues,Francy Boland,0.522883072449601,0.432,0.502,0.712,60s,pop
274,All I Have To Do Is Take A Bite Of Your Apple?,Jerry Goldsmith,0.7368601997324199,0.105,0.877,0.195,60s,rock
275,The Drum Thing,John Coltrane Quartet,0.47382395215037504,0.472,0.776,0.454,60s,r&b
276,"Madama Butterfly, Act II: Povera Butterfly (Suzuki, Sharpless, Butterfly)",Giacomo Puccini,0.24792998181614842,0.377,0.943,0.126,60s,pop
