,track,artist,tempo,danceability,acousticness,energy,decade,genre
35131,Not Ready To Die,Avenged Sevenfold,0.6627827506078542,0.434,0.000178,0.984,10s,r&b
11734,"The Struggle of the Turtle to the Sea, Pt. II",Jean-Luc Ponty,0.5129130198862577,0.306,0.00209,0.683,70s,rock
9889,"Organ Grinder's Swing - Studio Session, Boulogne, 02/16/1973",Milt Buckner,0.5827820878706669,0.634,0.608,0.702,70s,r&b
15561,You Are Everything,The Stylistics,0.5892064964812797,0.507,0.849,0.636,70s,pop
38365,Evacuate The Dancefloor,Cascada,0.5260849214863538,0.76,0.0195,0.694,10s,pop
20014,You've Got What I Need,Shooting Star,0.48686330631298597,0.507,0.153,0.743,80s,pop
34558,Peace Of Mind,Death SS,0.4557063742891108,0.461,0.000631,0.994,00s,latin
12177,Loving Her Was Easier (Than Anything I'll Ever Do Again),Kris Kristofferson,0.33215559412317797,0.438,0.723,0.216,70s,pop
16899,Talk To Me,Fiona,0.4294495553447683,0.639,0.32,0.745,80s,pop
6038,The Girl From Ipanema,Antônio Carlos Jobim,0.6263322052994122,0.633,0.46,0.262,60s,pop
39401,Forelsket i København,Scott Hamilton,0.22384362716062678,0.385,0.96,0.1,10s,r&b
24725,Blessed,Elton John,0.8452550088433993,0.601,0.147,0.412,90s,edm
25084,L.A. Woman,Billy Idol,0.7421413866947225,0.389,0.0511,0.936,90s,edm
2970,Celoso,Los Panchos,0.44617952721985893,0.661,0.834,0.377,60s,pop
3935,Everyday I Have To Cry,The Gentrys,0.4737493942167896,0.608,0.57,0.38,60s,pop
25871,Can We Talk,Tevin Campbell,0.7139543456920012,0.658,0.0759,0.711,90s,edm
19517,Stroke,Trouble Funk,0.4602336977007162,0.841,0.0345,0.627,80s,pop
31350,Rain,SID,0.3933138102003537,0.599,0.0285,0.801,00s,r&b
20193,You Make Me Work,Cameo,0.49105097691603533,0.882,0.341,0.862,80s,r&b
37226,Rendez Vous,Defunk,0.4224493938025789,0.737,0.0308,0.676,10s,r&b
18039,Break It Up,Trouble Funk,0.4206310086445782,0.858,0.0169,0.694,80s,r&b
11533,Brand New Car,Big Joe Williams,0.38944093976133176,0.501,0.727,0.328,70s,rap
7068,The (Bossa Nova) Bird,The Dells,0.3718618358648513,0.54,0.625,0.821,60s,pop
6066,Surfin' Safari,The Beach Boys,0.6559855523293141,0.542,0.795,0.785,60s,pop
25496,The Star Spangled Banner,Whitney Houston,0.36813393918557885,0.175,0.633,0.642,90s,rock
5445,Dile a Tus Ojos,Guty Cárdenas,0.34633402782667766,0.407,0.973,0.149,60s,pop
21749,Todo Cambia,Mercedes Sosa,0.4816318246397402,0.502,0.794,0.117,80s,r&b
18305,"On Our Own (From """"Ghostbusters II"""")",Bobby Brown,0.4254938427573181,0.656,0.00181,0.879,80s,r&b
35574,Mr. Soul,Buffalo Springfield,0.5583063751175323,0.671,0.0951,0.551,10s,pop
34233,Cowboy Casanova,Carrie Underwood,0.4969244852396002,0.597,0.0328,0.82,00s,pop
3212,Livin' Above Your Head,Jay & The Americans,0.5184137385418953,0.602,0.683,0.566,60s,pop
32814,Hallways Of Enchanted Ebony,Agalloch,0.5549844049655583,0.236,0.000242,0.75,00s,rock
20874,You're Supposed To Keep Your Love For Me,Jermaine Jackson,0.5693409492881788,0.702,0.739,0.417,80s,r&b
40003,Dance Like We're Making Love,Ciara,0.3978328493971163,0.721,0.063,0.541,10s,r&b
30583,Raga Karnaranjani,Ganesh & Kumaresh,0.7238746929662874,0.489,0.948,0.591,00s,edm
39445,Transgress,Aphyxion,0.4452185582980909,0.481,2.65e-06,0.95,10s,r&b
27034,Répons (1981 - 1984): Introduction,Pierre Boulez,0.5599176549044622,0.22,0.973,0.0892,90s,rock
18633,Dukki Pe Dukki Ho - From 'Satte Pe Satta' / Soundtrack Version,Asha Bhosle,0.504048910004432,0.688,0.651,0.78,80s,r&b
16674,Me So Horny,2 LIVE CREW,0.5332797620773497,0.941,0.00472,0.727,80s,rap
6265,Always Together,Al Martino,0.4386988812167855,0.281,0.735,0.272,60s,rock
7785,The First Nowell - Remastered 1997,Traditional,0.3346698533279762,0.224,0.984,0.268,60s,rock
3272,Pimpolho Moderno,Ary Lobo,0.4146456634206352,0.683,0.854,0.57,60s,pop
17230,Floe,Philip Glass,0.412321941157222,0.421,0.619,0.531,80s,r&b
2363,Come A Little Bit Closer,Jay & The Americans,0.5488665123041301,0.636,0.52,0.684,60s,pop
33094,The Fruit That Got Away,David Rovics,0.44370254698185346,0.671,0.231,0.428,00s,pop
9303,Sand in My Joints - 2006 Remastered Version,Wire,0.8641057397182539,0.177,0.213,0.775,70s,rock
